Club,Division,Nation of Club,Club Reputation
Cavez,Portuguese Lower Regional Divisions,Portugal,Obscure
Fraternidade,Portuguese Azores Islands Division,Portugal,Obscure
Fermedo,Portuguese Lower Regional Divisions,Portugal,Obscure
Lomba Amarante,Portuguese Lower Regional Divisions,Portugal,Obscure
Airães,Portuguese Lower Regional Divisions,Portugal,Obscure
São Mamede D'Este,Portuguese Lower Regional Divisions,Portugal,Obscure
Fermilense,Portuguese Lower Regional Divisions,Portugal,Obscure
UDS Roriz,Portuguese Porto Second Division Serie 2,Portugal,Obscure
Sanguedo,Portuguese Aveiro Second Division,Portugal,Obscure
Palmeiras (POR),Portuguese Lower Regional Divisions,Portugal,Obscure
St. Estevão,Portuguese Lower Regional Divisions,Portugal,Obscure
São Paio,Portuguese Regional Divisions,Portugal,Obscure
Ruivanense,Portuguese Braga Second Division,Portugal,Obscure
GD Freixo,Portuguese U19 Viana do Castelo Division,Portugal,Obscure
CFR Cluj,Romanian First League,Romania,National
FCSB,Romanian First League,Romania,National
Universitatea Craiova,Romanian First League,Romania,National
Sepsi OSK,Romanian First League,Romania,National
Farul Constanţa,Romanian First League,Romania,National
FC Botoşani,Romanian First League,Romania,National
FC Voluntari,Romanian First League,Romania,National
UTA Arad,Romanian First League,Romania,National
FC Rapid,Romanian First League,Romania,National
Dinamo Bucureşti,Romanian First League,Romania,National
FC Argeş,Romanian First League,Romania,National
FC U Craiova,Romanian First League,Romania,National
Gaz Metan Mediaş,Romanian First League,Romania,National
Chindia Târgovişte,Romanian First League,Romania,National
Academica Clinceni,Romanian First League,Romania,National
Politehnica Iaşi,Romanian Second League,Romania,National
FC Hermannstadt,Romanian Second League,Romania,National
CS Mioveni,Romanian First League,Romania,National
Petrolul Ploieşti,Romanian Second League,Romania,National
U Cluj,Romanian Second League,Romania,National
Concordia Chiajna,Romanian Second League,Romania,National
Astra Giurgiu,Romanian Second League,Romania,National
Politehnica Timişoara,Romanian Second League,Romania,National
FC Buzău,Romanian Second League,Romania,National
Viitorul Târgu Jiu,Romanian Second League,Romania,National
Csikszereda,Romanian Second League,Romania,National
Metaloglobus Bucureşti,Romanian Second League,Romania,National
Ripensia Timişoara,Romanian Second League,Romania,National
Dunărea Călăraşi,Romanian Second League,Romania,National
Steaua Bucureşti,Romanian Second League,Romania,National
Unirea Slobozia,Romanian Second League,Romania,National
CSM Reşiţa,Romanian Third League Group 7,Romania,National
CSC Şelimbăr,Romanian Second League,Romania,National
Unirea Constanţa,Romanian Second League,Romania,National
CSM Slatina,Romanian Third League Group 6,Romania,National
CS Hunedoara,Romanian Third League Group 9,Romania,National
Unirea Dej,Romanian Second League,Romania,National
Progresul Spartac,Romanian Third League Group 4,Romania,National
Oţelul Galaţi,Romanian Third League Group 2,Romania,National
FC Braşov,Romanian Second League,Romania,National
CSM Focşani,Romanian Third League Group 2,Romania,National
Pandurii Târgu Jiu,Romanian Third League Group 7,Romania,National
Ştiinţa Miroslava,Romanian Third League Group 1,Romania,National
CSC Ghiroda,Romanian Third League Group 8,Romania,National
Dacia Unirea Brăila,Romanian Second League,Romania,National
Minaur Baia Mare,Romanian Third League Group 10,Romania,National
Aerostar Bacău,Romanian Third League Group 2,Romania,National
Crişul Chişineu Criş,Romanian Third League Group 8,Romania,National
Şomuz Fălticeni,Romanian Third League Group 1,Romania,National
CSM Deva,Romanian Third League Group 7,Romania,National
CSC Dumbrăviţa,Romanian Third League Group 8,Romania,National
Sporting Lieşti,Romanian Third League Group 2,Romania,National
Viitorul Dăeşti,Romanian Third League Group 6,Romania,National
Lotus Băile Felix,Romanian Third League Group 10,Romania,National
CSM Râmnicu Sărat,Romanian Third League Group 2,Romania,National
Foresta Suceava,Romanian Third League Group 1,Romania,National
Bucovina Rădăuţi,Romanian Third League Group 1,Romania,National
CS Afumaţi,Romanian Third League Group 3,Romania,National
Ceahlăul Piatra Neamţ,Romanian Third League Group 1,Romania,National
CFR Cluj II,Romanian Third League Group 10,Romania,National
Sporting Roşiori,Romanian Third League Group 6,Romania,National
Metalul Buzău,Romanian Third League Group 2,Romania,National
CS Tunari,Romanian Third League Group 4,Romania,National
AFC Odorheiu Secuiesc,Romanian Third League Group 5,Romania,National
Înainte Modelu,Romanian Third League Group 3,Romania,National
Agricola Borcea,Romanian Third League Group 3,Romania,National
Dante Botoşani,Romanian Third League Group 1,Romania,National
SC Popeşti Leordeni,Romanian Third League Group 3,Romania,National
Metalurgistul Cugir,Romanian Third League Group 9,Romania,National
FCSB II,Romanian Third League Group 4,Romania,National
Voinţa Lupac,Romanian Third League Group 7,Romania,National
Şoimii Lipova,Romanian Third League Group 8,Romania,National
CS Blejoi,Romanian Third League Group 5,Romania,National
Real Bradu,Romanian Third League Group 4,Romania,National
CAO Oradea,Romanian Third League Group 10,Romania,National
Viitorul Ianca,Romanian Third League Group 2,Romania,Regional
FC Pucioasa,Romanian Third League Group 5,Romania,Regional
Vediţa Coloneşti,Romanian Third League Group 6,Romania,Regional
Progresul Ezeriş,Romanian Third League Group 7,Romania,Regional
Universitatea Craiova II,Romanian Third League Group 6,Romania,Regional
Flacăra Moreni,Romanian Third League Group 4,Romania,Regional
Cetate Râşnov,Romanian Third League Group 5,Romania,Regional
SR Braşov,Romanian Third League Group 5,Romania,Regional
CSM Alexandria,Romanian Third League Group 6,Romania,Regional
KSE Târgu Secuiesc,Romanian Third League Group 5,Romania,Regional
Gilortul Tg. Cărbuneşti,Romanian Third League Group 7,Romania,Regional
Gloria Albeşti,Romanian Third League Group 3,Romania,Regional
CSO Filiaşi,Romanian Third League Group 6,Romania,Regional
Lunca Teuz,Romanian Third League Group 8,Romania,Regional
Unirea Bascov,Romanian Third League Group 4,Romania,Regional
Huşana Huşi,Romanian Third League Group 1,Romania,Regional
SCM Zalău,Romanian Third League Group 10,Romania,Regional
Viitorul Cluj,Romanian Third League Group 9,Romania,Regional
Gloria Bistriţa,Romanian Third League Group 9,Romania,Regional
Unirea Ungheni,Romanian Third League Group 9,Romania,Regional
Sepsi OSK II,Romanian Third League Group 5,Romania,Regional
Farul Constanţa II,Romanian Third League Group 3,Romania,Regional
FC Voluntari II,Romanian Third League Group 3,Romania,Regional
FC Botoşani II,-,Romania,Regional
Flacăra Horezu,Romanian Third League Group 6,Romania,Regional
UTA Arad II,-,Romania,Regional
Someşul Dej,Romanian Third League Group 10,Romania,Regional
FC Rapid II,Romanian Third League Group 4,Romania,Regional
Dinamo Bucureşti II,Romanian Third League Group 4,Romania,Regional
Avântul Reghin,Romanian Third League Group 9,Romania,Regional
FC Argeş II,Romanian Third League Group 4,Romania,Regional
Sportul Şimleu,Romanian Third League Group 10,Romania,Regional
FC U Craiova II,-,Romania,Regional
Gaz Metan Mediaş II,-,Romania,Regional
Sticla Arieşul Turda,Romanian Third League Group 9,Romania,Regional
CSO Plopeni,Romanian Third League Group 5,Romania,Regional
Progresul Pecica,Romanian Third League Group 8,Romania,Regional
Pobeda Stár Bišnov,Romanian Third League Group 8,Romania,Regional
Viitorul Şimian,Romanian Third League Group 7,Romania,Regional
Sporting Vaslui,Romanian Third League Group 1,Romania,Regional
Academica Clinceni II,Romanian Third League Group 4,Romania,Regional
Chindia Târgovişte II,-,Romania,Regional
FC Hermannstadt II,Romanian Third League Group 5,Romania,Regional
Politehnica Iaşi II,-,Romania,Regional
CS Ocna Mureş,Romanian Third League Group 9,Romania,Regional
Petrolul Potcoava,Romanian Third League Group 6,Romania,Regional
Recolta Gheorghe Doja,Romanian Third League Group 3,Romania,Regional
Unirea Alba Iulia,Romanian Third League Group 9,Romania,Regional
Kids Tâmpa Braşov,Romanian Third League Group 5,Romania,Regional
CS Mioveni II,Romanian Fourth League,Romania,Regional
Jiul Petroşani,Romanian Third League Group 7,Romania,Regional
Petrolul Ploieşti II,-,Romania,Regional
Frontiera Curtici,Romanian Third League Group 8,Romania,Regional
CSM Bacău,Romanian Third League Group 1,Romania,Regional
U Cluj II,-,Romania,Regional
CSM Satu Mare,Romanian Third League Group 10,Romania,Regional
Sănătatea Cluj,Romanian Third League Group 9,Romania,Regional
CS Făurei,Romanian Third League Group 2,Romania,Regional
Progresul Şomcuta,Romanian Third League Group 10,Romania,Regional
CSM Feteşti,Romanian Third League Group 3,Romania,Regional
Concordia Chiajna II,-,Romania,Regional
Astra Giurgiu II,-,Romania,Regional
CSM Paşcani,Romanian Third League Group 1,Romania,Regional
Avântul Periam,Romanian Third League Group 8,Romania,Regional
Minerul Costeşti,Romanian Third League Group 6,Romania,Regional
Dinamo Bacău,Romanian Third League Group 2,Romania,Regional
Aurul Brad,Romanian Third League Group 7,Romania,Regional
Luceafărul Oradea,Romanian Third League Group 10,Romania,Regional
Sportul Chiscani,Romanian Third League Group 2,Romania,Regional
CS Năvodari,Romanian Fourth League,Romania,Regional
Petrolistul,Romanian Fourth League,Romania,Regional
Timişul Şag,Romanian Fourth League,Romania,Regional
CS Venus Independenţa,Romanian Fourth League,Romania,Regional
Axiopolis Cernavodă,Romanian Fourth League,Romania,Regional
CS Agigea,Romanian Fourth League,Romania,Regional
Victoria Zăbrani,Romanian Fourth League,Romania,Regional
CSM Olteniţa,Romanian Third League Group 3,Romania,Regional
CSO Tricolorul,Romanian Fourth League,Romania,Regional
Academia Floreşti,Romanian Fourth League,Romania,Regional
UVT,Romanian Fourth League,Romania,Regional
Politehnica Timişoara II,-,Romania,Regional
FC Buzău II,-,Romania,Regional
FC Avrig,Romanian Fourth League,Romania,Regional
Phoenix Buziaş,Romanian Fourth League,Romania,Regional
ACS Carani,Romanian Fourth League,Romania,Regional
Supporter 2.0,Romanian Fourth League,Romania,Regional
Viitorul Târgu Jiu II,Romanian Third League Group 7,Romania,Regional
Gloria Geoagiu,Romanian Fourth League,Romania,Regional
Răşinari,Romanian Fourth League,Romania,Regional
Siretul Dolhasca,Romanian Fourth League,Romania,Regional
Csikszereda II,-,Romania,Regional
Metaloglobus Bucureşti II,Romanian Fourth League,Romania,Regional
Victoria Traian,Romanian Fourth League,Romania,Regional
Victoria Horia,Romanian Fourth League,Romania,Regional
Băneşti Urleta,Romanian Fourth League,Romania,Regional
Industria Galda,Romanian Fourth League,Romania,Regional
Fortuna Becicherecu Mic,Romanian Fourth League,Romania,Regional
CSU Alba Iulia,Romanian Fourth League,Romania,Regional
Ripensia Timişoara II,-,Romania,Regional
Lanurile,Romanian Fourth League,Romania,Local
Colţea Braşov,Romanian Fourth League,Romania,Local
Dunărea Călăraşi II,-,Romania,Local
Steaua Bucureşti II,-,Romania,Local
CSM Victoria Carei,Romanian Fourth League,Romania,Local
Păulişana Păuliş,Romanian Fourth League,Romania,Local
Silvicultorul Maieru,Romanian Fourth League Bistriţa-Năsăud,Romania,Local
Turceni,Romanian Fourth League,Romania,Local
Unirea Sîntana,Romanian Fourth League,Romania,Local
Techirghiol,Romanian Fourth League,Romania,Local
Mureşul Ruşii Munţi,Romanian Fourth League,Romania,Local
Răuceşti,Romanian Fourth League,Romania,Local
Unirea Mânăstirea,Romanian Fourth League,Romania,Local
Leţcani,Romanian Fourth League,Romania,Local
Heniu Leşu,Romanian Fourth League Bistriţa-Năsăud,Romania,Local
Viitorul Curiţa,Romanian Fourth League,Romania,Local
Unirea Slobozia II,-,Romania,Local
Viitorul Însurăţei,Romanian Fourth League,Romania,Local
Petrolul 95,Romanian Fourth League,Romania,Local
Rapid Jibou,Romanian Fourth League,Romania,Local
Mureşul Luduş,Romanian Fourth League,Romania,Local
Argeşul Mihăileşti,Romanian Fourth League,Romania,Local
Dăbuleni,Romanian Fourth League,Romania,Local
CS Viitorul Borş,Romanian Fourth League,Romania,Local
Unirea Miercurea-Sibiului,Romanian Fourth League,Romania,Local
CSM Lugoj,Romanian Fourth League,Romania,Local
Team Săgeata,Romanian Fourth League,Romania,Local
Asalt Bucureşti,Romanian Fourth League,Romania,Local
Jiul Podari,Romanian Fourth League,Romania,Local
CSM Reşiţa II,-,Romania,Local
CSC Şelimbăr II,-,Romania,Local
Unirea Constanţa II,-,Romania,Local
Ţăndărei,Romanian Fourth League,Romania,Local
Ciulniţa,Romanian Fourth League,Romania,Local
CSO Teleajenul,Romanian Fourth League,Romania,Local
Metropolitan Işalniţa,Romanian Fourth League,Romania,Local
Şoimii Şimand,Romanian Fourth League,Romania,Local
Ziduri,Romanian Fourth League,Romania,Local
Sporting Apahida,Romanian Fourth League,Romania,Local
Unirea Iclod,Romanian Fourth League,Romania,Local
Sportul Ciorăşti,Romanian Fourth League,Romania,Local
CS Cârcea,Romanian Fourth League,Romania,Local
CS Hunedoara II,Romanian Fourth League,Romania,Local
CSM Slatina II,-,Romania,Local
Unirea Dej II,-,Romania,Local
Progresul Spartac II,-,Romania,Local
Oţelul Galaţi II,-,Romania,Local
ACS Corbeanca,Romanian Fourth League,Romania,Local
Unirea Tomnatic,Romanian Fourth League,Romania,Local
Minerul Rodna,Romanian Fourth League Bistriţa-Năsăud,Romania,Local
Performanţa Ighiu,Romanian Fourth League,Romania,Local
Voinţa Gârleni,Romanian Fourth League,Romania,Local
Bechet,Romanian Fourth League,Romania,Local
Crivăţ,Romanian Fourth League,Romania,Local
Gloria Corneşti,Romanian Fourth League,Romania,Local
Progresul 2005,Romanian Fourth League,Romania,Local
Voinţa Stremţ,Romanian Fourth League,Romania,Local
FC Braşov II,-,Romania,Local
CSM Focşani II,Romanian Fourth League,Romania,Local
Pandurii Târgu Jiu II,-,Romania,Local
Ştiinţa Miroslava II,-,Romania,Local
CSC Ghiroda II,-,Romania,Local
Dacia Unirea Brăila II,-,Romania,Local
Minaur Baia Mare II,-,Romania,Local
Viitorul Liteni,Romanian Fourth League,Romania,Local
Recolta Dănceu,Romanian Fourth League,Romania,Local
Lăpuşul Tg. Lăpuş,Romanian Fourth League,Romania,Local
Rapid Buzescu,Romanian Fourth League,Romania,Local
Şoimul Băiţa,Romanian Fourth League,Romania,Local
Ajax Botoroaga,Romanian Fourth League,Romania,Local
ACS Oltul Curtişoara,Romanian Fourth League,Romania,Local
Adunaţii Copăceni,Romanian Fourth League,Romania,Local
Ciucaş Tărlungeni,Romanian Fourth League,Romania,Local
Juniorul Suceava,Romanian Fourth League,Romania,Local
Petrolul Bustuchin,Romanian Fourth League,Romania,Local
Înfrăţirea Jilavele,Romanian Fourth League,Romania,Local
CSM Deva II,Romanian Fourth League,Romania,Local
Crişul Chişineu Criş II,Romanian Lower League,Romania,Local
Aerostar Bacău II,-,Romania,Local
Şomuz Fălticeni II,-,Romania,Local
Portul Constanţa,Romanian Fourth League,Romania,Local
Arieşul Mihai Viteazu,Romanian Fourth League,Romania,Local
Farul Tuzla,Romanian Fourth League,Romania,Local
FC Păpăuţi,Romanian Fourth League,Romania,Local
AFC Singureni,Romanian Fourth League,Romania,Local
Inter Petrila,Romanian Fourth League,Romania,Local
Recolta Gura Şuţii,Romanian Fourth League,Romania,Local
Cocoşul Orţişoara,Romanian Fourth League,Romania,Local
ACSM Codlea,Romanian Fourth League,Romania,Local
CSM Sighet,Romanian Fourth League,Romania,Local
Mihai Viteazu Vulcan,Romanian Fourth League,Romania,Local
VSK Gheorgheni,Romanian Fourth League,Romania,Local
Energia Remuş,Romanian Fourth League,Romania,Local
AS Căpleni,Romanian Fourth League,Romania,Local
CSC Dumbrăviţa II,-,Romania,Local
Sporting Lieşti II,-,Romania,Local
Viitorul Dăeşti II,-,Romania,Local
Lotus Băile Felix II,-,Romania,Local
Foresta Suceava II,Romanian Lower League,Romania,Local
CSM Râmnicu Sărat II,Romanian Fourth League,Romania,Local
Bucovina Rădăuţi II,-,Romania,Local
CS Afumaţi II,-,Romania,Local
Ceahlăul Piatra Neamţ II,-,Romania,Local
CS Amara,Romanian Fourth League,Romania,Local
Cozia Călimăneşti,Romanian Fourth League,Romania,Local
Natandi,-,Romania,Obscure
ACS Bradu II,-,Romania,Obscure
Academia Măgura II,-,Romania,Obscure
Someşul Reteag II,-,Romania,Obscure
Sportul Beclean II,-,Romania,Obscure
ARD Snagov II,-,Romania,Obscure
ACS Darvari II,-,Romania,Obscure
Voinţa Crevedia II,-,Romania,Obscure
Star Team II,-,Romania,Obscure
Juniors Berceni II,-,Romania,Obscure
Victoria Roşiori II,-,Romania,Obscure
Progresul Sf. Gheorghe II,-,Romania,Obscure
Golimpiakosz Od. Secuiesc II,-,Romania,Obscure
Târgu Bujor II,-,Romania,Obscure
ACS Mârşani II,-,Romania,Obscure
Galicea Mare II,-,Romania,Obscure
Dunărea Cetate II,-,Romania,Obscure
Şuţa Seacă II,-,Romania,Obscure
Voinţa Creţu II,-,Romania,Obscure
ACS Burduca II,-,Romania,Obscure
Viitorul Cobadin II,-,Romania,Obscure
Viitorul Hârşova II,-,Romania,Obscure
Viitorul Poieni II,-,Romania,Obscure
ACS Floreşti II,-,Romania,Obscure
Oţelu Roşu II,-,Romania,Obscure
Banatul Ocna de Fier II,-,Romania,Obscure
Mundo Reşiţa II,-,Romania,Obscure
Şoimii Progresu II,-,Romania,Obscure
Progresul Perişoru II,-,Romania,Obscure
Progresul Smârdioasa II,-,Romania,Obscure
Dinamic Kids Videle II,-,Romania,Obscure
Unirea Grabaţ II,-,Romania,Obscure
Atletico Liebling II,-,Romania,Obscure
FC Măicăneşti II,-,Romania,Obscure
FC Mărăşeşti II,-,Romania,Obscure
Voinţa Sihlea II,-,Romania,Obscure
Prosport Focşani II,-,Romania,Obscure
Inizio Focşani II,-,Romania,Obscure
Ştiinţa Cernăteşti II,-,Romania,Obscure
Energia Clondiru II,-,Romania,Obscure
Viitorul Broscăuţi II,-,Romania,Obscure
Unirea Stăuceni II,-,Romania,Obscure
Viitorul Bârla II,-,Romania,Obscure
AS Lereşti II,-,Romania,Obscure
Speed Academy Piteşti II,-,Romania,Obscure
Energia Stolnici II,-,Romania,Obscure
ACS Bălileşti II,-,Romania,Obscure
Târnavele Tiur II,-,Romania,Obscure
Hidromecanica Şugag II,-,Romania,Obscure
Kinder Teiuş II,-,Romania,Obscure
GT Sport Alba Iulia II,-,Romania,Obscure
Galaxy Timişoara II,-,Romania,Obscure
AMEFA Cluj Napoca II,-,Romania,Obscure
Inter Sibiu II,-,Romania,Obscure
Comloşu Mare II,-,Romania,Obscure
Stejarul Dobrovăţ II,-,Romania,Obscure
Voinţa Turţ II,-,Romania,Obscure
Valea Oltului Cilieni II,-,Romania,Obscure
AS Dinamo Inter Stăneşti II,-,Romania,Obscure
Steaua 2018 Prigor II,-,Romania,Obscure
Vulturii Gălbinaşi II,-,Romania,Obscure
CS Dinamic Unirea II,-,Romania,Obscure
Voinţa Dipşa II,-,Romania,Obscure
Unirea Urmeniş II,-,Romania,Obscure
Voinţa Matei II,-,Romania,Obscure
Power Team II,-,Romania,Obscure
ACS Recea II,-,Romania,Obscure
Victoria Cluj II,-,Romania,Obscure
Prosport Academy II,-,Romania,Obscure
Sporting Poieni Solca II,-,Romania,Obscure
Victoria Tiream II,-,Romania,Obscure
AS Ghenci II,-,Romania,Obscure
Viitorul Lucăceni II,-,Romania,Obscure
Egri Sasok Agriş II,-,Romania,Obscure
Venus Dumbrava II,-,Romania,Obscure
Speranţa Halmeu II,-,Romania,Obscure
Dudeştii Noi II,-,Romania,Obscure
Recolta Blăjani II,-,Romania,Obscure
Soporu de Câmpie II,-,Romania,Obscure
CSM Vaslui II,-,Romania,Obscure
Gloria Româneşti II,-,Romania,Obscure
Nicolae Linca Cergău II,-,Romania,Obscure
Teleajean Ploieşti II,-,Romania,Obscure
Slănic II,-,Romania,Obscure
Olteţu Bălceşti II,-,Romania,Obscure
Voinţa Hurez II,-,Romania,Obscure
FC Star Sport Argeş II,-,Romania,Obscure
Unirea Colibaşi II,-,Romania,Obscure
Avântul Golăieşti II,-,Romania,Obscure
Olimpicii Ulmi II,-,Romania,Obscure
Bazoşu Vechi II,-,Romania,Obscure
Gloria Frumoasa II,-,Romania,Obscure
Academia Brosovzsky II,-,Romania,Obscure
ASU Politehnica II,-,Romania,Obscure
Steluţa Bălănoaia II,-,Romania,Obscure
AFC Rapid II,-,Romania,Obscure
Arrubium Măcin II,-,Romania,Obscure
Forestierul Frumosu II,-,Romania,Obscure
Inter Pericei II,-,Romania,Obscure
Cetatea Buciumi II,-,Romania,Obscure
AS Holboca II,-,Romania,Obscure
Zenit,Russian Premier League,Russia,Continental
Lokomotiv Moscow,Russian Premier League,Russia,National
CSKA Moscow,Russian Premier League,Russia,National
Spartak Moscow,Russian Premier League,Russia,National
Dinamo Moscow,Russian Premier League,Russia,National
Krasnodar,Russian Premier League,Russia,National
Sochi,Russian Premier League,Russia,National
Rubin,Russian Premier League,Russia,National
Rostov,Russian Premier League,Russia,National
Akhmat,Russian Premier League,Russia,National
Ural,Russian Premier League,Russia,National
Arsenal Tula,Russian Premier League,Russia,National
Krylja Sovetov,Russian Premier League,Russia,National
Ufa,Russian Premier League,Russia,National
Khimki,Russian Premier League,Russia,National
Orenburg,Russian First Division,Russia,National
Nizhniy Novgorod,Russian Premier League,Russia,National
Torpedo Moscow,Russian First Division,Russia,National
Rotor,Russian First Division,Russia,National
Baltika,Russian First Division,Russia,National
Neftekhimik,Russian First Division,Russia,National
SKA Khabarovsk,Russian First Division,Russia,National
Yenisey,Russian First Division,Russia,National
Fakel,Russian First Division,Russia,National
Chertanovo,Russian Second Division,Russia,National
Tom,Russian First Division,Russia,National
Spartak M-2,Russian First Division,Russia,National
Alania,Russian First Division,Russia,National
Shinnik,Russian Second Division,Russia,National
Krasnodar-2,Russian First Division,Russia,National
Chaika Peschanokopskoe,Russian Second Division,Russia,National
Veles,Russian First Division,Russia,National
Anji,Russian Second Division,Russia,National
Avangard Kursk,Russian Second Division,Russia,National
Volgar,Russian First Division,Russia,National
Tyumen,Russian Second Division,Russia,National
Textilschik Ivanovo,Russian First Division,Russia,National
Mordovia,Russian Lower Division,Russia,National
Zenit-2,Russian Second Division,Russia,National
Akron,Russian First Division,Russia,National
KamAZ,Russian First Division,Russia,National
Metallurg Lipetsk,Russian First Division,Russia,National
Saturn,Russian Second Division,Russia,National
Chernomorets (RUS),Russian Second Division,Russia,National
Dolgoprudny,Russian First Division,Russia,National
Kuban PFC,Russian First Division,Russia,Regional
Dinamo Bryansk,Russian Second Division,Russia,Regional
Irtysh Omsk,Russian Second Division,Russia,Regional
Salyut,Russian Second Division,Russia,Regional
Ryazan,Russian Second Division,Russia,Regional
Spartak Nalchik,Russian Second Division,Russia,Regional
Chelyabinsk,Russian Second Division,Russia,Regional
Strogino,Russian Second Division,Russia,Regional
Kaluga,Russian Second Division,Russia,Regional
Amkar,Russian Second Division,Russia,Regional
Volga Uljanovsk,Russian Second Division,Russia,Regional
Dinamo-2 Moscow,Russian Second Division,Russia,Regional
Lokomotiv-Kazanka,Russian Second Division,Russia,Regional
Leningradets,Russian Second Division,Russia,Regional
Novosibirsk,Russian Second Division,Russia,Regional
Zvezda Perm,Russian Second Division,Russia,Regional
Nosta,Russian Second Division,Russia,Regional
Khimik Dzerzhinsk,Russian Second Division,Russia,Regional
Dinamo Barnaul,Russian Second Division,Russia,Regional
Zenit-Izhevsk,Russian Second Division,Russia,Regional
Legion Makhachkala,Russian Second Division,Russia,Regional
SKA Rostov,Russian Second Division,Russia,Regional
Zorkiy,Russian Third Division - Moskovskaya oblast,Russia,Regional
Dinamo SPb,Russian Second Division,Russia,Regional
Torpedo Vladimir,Russian Second Division,Russia,Regional
Sakhalin,Russian Second Division,Russia,Regional
Afips,Russian Lower Division,Russia,Regional
Dinamo Stavropol,Russian Second Division,Russia,Regional
Chita,Russian Second Division,Russia,Regional
Znamya Truda,Russian Second Division,Russia,Regional
Ural-2,Russian Second Division,Russia,Regional
Biolog,Russian Second Division,Russia,Regional
Lada,Russian Second Division,Russia,Regional
Druzhba Maikop,Russian Second Division,Russia,Regional
Murom,Russian Second Division,Russia,Regional
Kuban Holding,Russian Second Division,Russia,Regional
Mashuk,Russian Second Division,Russia,Local
Khimki-M,Russian Second Division,Russia,Local
Khimik Novomoskovsk,Russian Lower Division,Russia,Local
Dolgoprudny-2,Russian Second Division,Russia,Local
Vityaz,Russian Fourth Division - Podmoskovje,Russia,Local
Gubkin,Russian Lower Division,Russia,Local
Spartak Vladikavkaz,Russian Lower Division,Russia,Local
Arsenal-2 Tula,Russian Second Division,Russia,Local
Energia Luki,Russian Second Division,Russia,Local
Lada Dimitrovgrad,Russian Lower Division,Russia,Local
Smena KnA,Russian Lower Division,Russia,Local
Dinamo Makhachkala,Russian Second Division,Russia,Local
Volna NN,Russian Second Division,Russia,Local
Tver,Russian Second Division,Russia,Local
Smolensk,Russian Lower Division,Russia,Local
Forte Taganrog,Russian Second Division,Russia,Local
Kvant,Russian Second Division,Russia,Local
Lokomotiv-2 Moscow,Russian Lower Division,Russia,Local
Gornyak Uchaly,Russian Lower Division,Russia,Local
Syzran 2003,Russian Lower Division,Russia,Local
Dinamo Kirov,Russian Lower Division,Russia,Local
Znamya Noginsk,Russian Second Division,Russia,Local
Zvezda SPb,Russian Second Division,Russia,Local
Rodina,Russian Second Division,Russia,Local
Olimpia Volgograd,Russian Lower Division,Russia,Local
Dnepr Smolensk,Russian Lower Division,Russia,Local
Orenburg-2,Russian Second Division,Russia,Local
Kolomna,Russian Second Division,Russia,Local
Metallurg Vidnoe,Russian Second Division,Russia,Local
Dinamo-2 St. Petersburg,Russian Lower Division,Russia,Local
Astrakhan,Russian Third Division - South,Russia,Local
Inter Cherkessk,Russian Lower Division,Russia,Local
Rosich,Russian Third Division - Moscow,Russia,Local
Shexna,Russian Lower Division,Russia,Local
PFC Kuban-D,Russian Regional Division - Krasnodarskiy Kray,Russia,Local
Angusht,Russian Third Division - South,Russia,Local
Novokuznetsk,Russian Lower Division,Russia,Local
Zelenograd,Russian Third Division - Moscow,Russia,Local
Fakel-M,Russian Second Division,Russia,Local
Ufa-2,Russian Lower Division,Russia,Local
Lokomotiv Liski,Russian Third Division - Chernozemje,Russia,Local
Spartak Tambov,Russian Lower Division,Russia,Local
Torpedo Miass,Russian Second Division,Russia,Local
Zenit Penza,Russian Second Division,Russia,Local
Rotor-2,Russian Second Division,Russia,Local
Metallurg Asha,Russian Third Division - Ural & West Siberia,Russia,Local
Akademia Konopleva,Russian M-League,Russia,Local
Akademia Ponedelnika,Russian Lower Division,Russia,Local
Yessentuki,Russian Second Division,Russia,Local
Tuapse,Russian Lower Division,Russia,Local
SKA-2 Khabarovsk,Russian Second Division,Russia,Local
Volochanin,Russian Third Division - Golden Ring,Russia,Local
Sever,Russian Lower Division,Russia,Local
FShM Moscow,Russian Third Division - Moscow,Russia,Local
Dinamo Vologda,Russian Third Division - Golden Ring,Russia,Local
Peresvet,Russian Second Division,Russia,Local
Legion Ivanteevka,Russian Third Division - Moskovskaya oblast,Russia,Local
Orel,Russian Third Division - Chernozemje,Russia,Local
Sibiryak,Russian Lower Division,Russia,Local
Metallurg Magnitogorsk,Russian Third Division - Ural & West Siberia,Russia,Local
Prialit,Russian Third Division - Moskovskaya oblast,Russia,Local
Raspadskaya,Russian Third Division - Siberia,Russia,Local
ZTZ-Luch Sergiev Posad,Russian Third Division - Moskovskaya oblast,Russia,Local
Tom-2,Russian Third Division - Siberia,Russia,Local
Rassvet Krasnoyarsk,Russian Third Division - Siberia,Russia,Local
Cherepovets,Russian Third Division - Golden Ring,Russia,Local
Atom,Russian Third Division - Chernozemje,Russia,Local
Novosibirsk-M,Russian Third Division - Siberia,Russia,Local
Metallurg Stary Oskol,Russian Third Division - Chernozemje,Russia,Local
Troitsk,Russian Lower Division,Russia,Local
Baikal,Russian Third Division - Siberia,Russia,Local
Chertanovo-2,Russian M-League,Russia,Local
Khimik-Avgust,Russian Third Division - Privolzhje,Russia,Local
SDYuShOR-Lada,Russian Lower Division,Russia,Local
Volga Tver,Russian Third Division - Golden Ring,Russia,Local
